Name,Copies,Type,Text,Money,Legitimacy,Restrictions,Strangth,Comments
Unemployment initiative program,1,Assign,assign unemployed workers to one of your non-operational companies,,,4A/B,,
Nationalization,1,Assign,"remove a non-operational public company and replace it with a non-operational CC company of your choose without Mechinary objects, you may assign workers to it.",,,1A/B,,
Emergancy state,1,Bill,"if there are at laest 3 policies with proposed bids, choose a policy without a proposed bill and move its marker 1 step",,,,,
Pressing matters,1,Bill,propose a bill.  You may call for immediate vote for free.,,,,,
Radical reforms,1,Bill,propose a bill.  You can move the marker 2 steps but can't call for immediate election.,,,,,
A metter of high priority,2,Event,look at the top 2 event cards and if able place one on the board. Then preform an event action,,,,,
Immediate response,2,Event,choose an event and preform its action twice,,,,,
Shift focus,2,Event,look at the top 2 event cards.  One of them can replace 1 of the events on the board. Then preform an event action,,,,,
Agenda-Setting,2,Influance,get 1 personal Influance for each policy that matches your current political agenda,,,,,
Allowances and subsies,2,Legitimacy,provide 20V to a class. Get a +1 legitimacy for that class.,,1WC / 1MC / 1CC,,,
Business grants,1,Legitimacy,provide 5V to the CC for each of its companies. Get 1 legitimacy for each 3 CC companies,,XCC,1A/B,,
Employment support scheme,1,Legitimacy,provide 15V to the WC and MC,-30,1WC + 1MC,,,
Healthcare program,1,Legitimacy,provide Health to a class equal to its population.  Get +1 legitimacy for that class,,1WC / 1MC,4A/B,,
Literacy program,1,Legitimacy,provide Edu to a class equal to its pop. Get 1 legitimacy for that class,,1WC / 1MC,5A/B,,
Step for representation,2,Legitimacy,provide 1 personal influance and 2 voting cubes to WC/MC/CC. Get +2 legitimacy from that class.,,2WC / 2MC / 2CC,,,
Supplemental income program,1,Legitimacy,provide 1V to a class for each of its employed workers. For every 10V you provide get +1 legitimacy to that class,,X(WC + MC),2B/C,,
Construction boom,1,Legitimacy + Money,"State, WC and CC get 15V each ",15,1CC + 1WC,,,
Denail of free speech,1,Money,get 2 influaces.  Choose up to 2 players: each give you 1 fluance and you loss -1 legitimacy ,,,,,
Foreign financial assistance,2,Money,get 10V for each policy that matches your current political agenda,70,,,,
Foreign investment program,2,Money,spend 2 influances to get 40V,40,,,,
Geopolitical support,2,Money,"get money based on the current Foreign trade policy (6): A:15,B:30,C:45",15/30/45,,,,
Quantitative easing,1,Money,Get 25V.  If you have a loan get 35V insteaed.,25/35,,,,
higher VAT,2,Money,each player pay15V to the State.  -1 Legitimacy for 2 classes.,45,2* -1,,,
Growth in tourism,1,Money + Legitimacy,"the State, MC, CC get 15V each",15,1CC + 1MC,,,
Public sector overtime,2,Production,choose one of your companies. Pay the workers wages and perform a production for that company,,,,,
Foreign students,1,Sell,sell up to 8 Edu to the foreign market at the current local price,80,,1A/B,,
Medical tourism,1,Sell,sell up to 8 Med to the foreign market at the current local price,80,,1A/B,,
Privatization,1,Sell,sell operational company to CC for its cost,20,1CC,1B/C,,
,,,,,,,,
SUM:,39,,,,,,,